State,Agency Type,Agency,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
California,Cities,Orange,3,0,0,0,0,0,0,0,1,2,139830
California,Cities,Oroville,2,0,0,0,0,0,1,1,0,0,19268
California,Cities,Oxnard,1,0,0,0,0,0,0,0,1,0,211349
California,Cities,Pacifica,1,0,0,0,0,0,0,0,1,0,38938
California,Cities,Palmdale,3,0,0,0,0,0,0,0,2,1,157138
California,Cities,Palm Springs,4,2,5,0,0,0,3,4,1,3,48846
California,Cities,Palo Alto,1,2,2,0,0,0,1,0,1,2,66938
California,Cities,Parlier,0,0,1,0,0,0,0,0,1,0,15384
California,Cities,Pasadena,2,2,0,0,0,0,0,1,2,1,141913
California,Cities,Paso Robles,1,0,0,0,0,0,1,0,0,0,32528
California,Cities,Petaluma,3,0,1,0,0,0,0,1,3,0,62425
California,Cities,Pico Rivera,0,0,1,0,0,0,0,0,1,0,62880
California,Cities,Pittsburg,0,1,1,1,0,0,0,1,0,2,73637
California,Cities,Placentia,0,1,0,0,0,0,1,0,0,0,51756
California,Cities,Pleasant Hill,1,0,0,0,0,0,0,0,0,1,35125
California,Cities,Pomona,4,0,1,0,0,0,1,3,1,0,152776
California,Cities,Poway,1,1,0,0,0,0,0,1,0,1,49928
California,Cities,Rancho Cordova,1,0,0,0,0,0,1,0,0,0,75869
California,Cities,Rancho Cucamonga,1,0,0,0,0,0,1,,0,0,179247
California,Cities,Rancho Santa Margarita,1,0,0,0,1,0,0,0,0,2,48377
California,Cities,Red Bluff,2,0,0,0,0,0,0,1,1,0,14308
California,Cities,Redding,1,0,0,0,0,0,1,,,,92009
California,Cities,Redlands,0,0,2,0,0,0,0,0,2,0,71941
California,Cities,Redondo Beach,0,1,0,0,0,0,0,0,1,0,67473
California,Cities,Redwood City,0,0,0,0,0,1,0,0,1,0,87427
California,Cities,Rialto,1,0,0,0,0,0,0,0,0,1,103965
California,Cities,Richmond,7,0,2,0,0,0,3,2,0,4,110988
California,Cities,Ridgecrest,0,0,1,0,0,0,0,0,0,1,29101
California,Cities,Riverside,10,1,4,0,0,0,8,3,4,0,333260
California,Cities,Rohnert Park,1,0,0,0,0,0,0,0,1,0,44131
California,Cities,Rosemead,1,0,0,0,0,0,1,0,0,0,54489
California,Cities,Roseville,5,0,0,1,0,0,1,3,1,1,141744
California,Cities,Sacramento,1,1,1,1,0,2,1,0,4,1,513934
California,Cities,Salinas,0,0,1,0,0,0,0,1,0,0,156943
California,Cities,San Bernardino,4,0,4,0,0,0,1,0,2,5,216715
California,Cities,San Bruno,1,0,0,0,0,0,0,0,1,0,43297
California,Cities,San Clemente,1,2,2,0,0,0,1,0,3,1,65018
