"","State","AgencyType","Agency","RaceEthnAnc","Religion","SexualOrientation","Disability","Gender","GenderID","Q1","Q2","Q3","Q4","Population","TotalCrimes","PopulationT","TotalCrimesT"
"22","Arkansas","Cities","Conway",1,0,0,0,0,0,0,0,1,0,67336,1,-0.573571593250702,-1
"23","Arkansas","Cities","Fort Smith",4,0,0,0,0,0,0,0,2,2,88041,4,-0.565933955092887,-0.554784736033923
"24","Arkansas","Cities","Searcy",1,0,0,0,0,0,0,0,0,1,23873,1,-0.604094177849456,-1
"25","California","Cities","Alameda",2,0,0,0,0,0,0,1,0,1,78907,2,-0.569041870674855,-0.744838731561351
"26","California","Cities","Antioch",2,1,1,0,0,0,0,2,1,1,112641,4,-0.559004334149162,-0.554784736033923
"27","California","Cities","Apple Valley",0,0,2,0,0,0,0,2,0,0,74051,2,-0.570851903593901,-0.744838731561351
"28","California","Cities","Arvin",0,1,0,0,0,0,0,1,0,0,21811,1,-0.60682885164369,-1
"29","California","Cities","Azusa",2,0,1,0,0,0,0,2,1,0,50405,3,-0.581937466572921,-0.626936372550773
"30","California","Cities","Bakersfield",1,0,1,1,0,0,1,0,1,1,388080,3,-0.525477272363821,-0.626936372550773
"31","California","Cities","Beaumont",1,0,0,0,0,0,0,0,1,0,50990,1,-0.581601809977126,-1
"32","California","Cities","Bellflower",1,0,0,0,0,0,0,1,0,0,77196,1,-0.569665948018211,-1
"33","California","Cities","Bell Gardens",0,0,1,0,0,0,0,1,0,0,42366,1,-0.587014902661544,-1
"34","California","Cities","Belmont",0,0,1,0,0,1,0,0,0,2,27272,2,-0.600086906138352,-0.744838731561351
"35","California","Cities","Berkeley",4,2,2,0,0,0,0,2,0,6,122788,8,-0.55659872059393,-0.413225159077106
"36","California","Cities","Beverly Hills",1,6,2,0,0,0,2,2,2,3,34211,9,-0.593323720773929,-0.393049215227122
"37","California","Cities","Big Bear",1,0,0,0,0,0,0,1,0,0,5311,1,-0.651240175898452,-1
"38","California","Cities","Brea",0,1,4,0,0,0,0,4,0,1,44155,5,-0.585802209696457,-0.504588964513974
"39","California","Cities","Brentwood",0,4,0,0,0,0,1,0,2,1,65483,4,-0.574372411627742,-0.554784736033923
"40","California","Cities","Brisbane",1,0,0,0,0,0,1,0,0,0,4746,1,-0.654913003108562,-1
"41","California","Cities","Buena Park",1,0,0,0,0,0,0,1,0,0,82627,1,-0.567732688922575,-1
"42","California","Cities","Burbank",7,0,0,0,0,0,2,4,1,0,103738,7,-0.561310422649891,-0.437354231717505
"43","California","Cities","Camarillo",1,0,0,0,0,0,0,1,0,0,69628,1,-0.572612473141484,-1
"44","California","Cities","Capitola",0,1,0,0,0,0,0,1,0,0,10101,1,-0.630640389003483,-1
"45","California","Cities","Carlsbad",5,0,0,0,0,0,0,2,0,3,117220,5,-0.55789171782907,-0.504588964513974
"46","California","Cities","Cathedral City",1,0,0,0,0,0,0,0,0,1,55346,1,-0.579222852499432,-1
"47","California","Cities","Central Marin",0,1,0,0,0,0,0,0,1,0,34793,1,-0.592823493245149,-1
